#,"Country","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
130,Réunion,"17,508",,123,,"16,011","1,374",54,"19,447",137,"100,098","111,186","900,274"
131,Eswatini,"17,376",,669,,"16,645",62,3,"14,858",572,"173,720","148,544","1,169,482"
132,Mongolia,"15,718",704,25,3,"9,516","6,177",88,"4,736",8,"2,459,832","741,104","3,319,145"
133,Tajikistan,"13,308",,90,,"13,218",0,,"1,372",9,,,"9,702,976"
134,Burkina Faso,"12,956",,152,,"12,593",211,,607,7,"175,176","8,207","21,344,682"
135,Haiti,"12,840",,251,,"11,447","1,142",,"1,116",22,"54,379","4,724","11,510,273"
136,Andorra,"12,545",,120,,"11,825",600,12,"162,162","1,551","193,595","2,502,488","77,361"
137,Belize,"12,485",,318,,"12,106",61,1,"30,964",789,"103,373","256,376","403,209"
138,Somalia,"12,406",,618,,"5,222","6,566",,764,38,"99,591","6,134","16,234,617"
139,Guadeloupe,"12,140",,174,,"2,242","9,724",13,"30,337",435,"159,029","397,397","400,177"
140,Togo,"12,006",,116,,"9,274","2,616",,"1,424",14,"291,705","34,610","8,428,407"
141,Mali,"11,844",,408,,"7,143","4,293",,572,20,"243,860","11,781","20,699,744"
142,Hong Kong,"11,582",,207,,"11,206",169,7,"1,535",27,"11,193,673","1,483,745","7,544,203"
143,Curaçao,"11,355",,66,,"6,521","4,768",22,"68,979",401,"84,951","516,059","164,615"
144,Guyana,"11,149",,255,,"9,721","1,173",15,"14,122",323,"99,349","125,838","789,502"
145,Lesotho,"10,707",,315,,"4,674","5,718",,"4,967",146,"71,129","33,000","2,155,435"
146,South Sudan,"10,372",,114,,"10,090",168,,918,10,"139,379","12,339","11,295,469"
147,Congo,"10,084",,137,,"8,208","1,739",,"1,793",24,"92,500","16,451","5,622,812"
148,Aruba,"10,050",,92,,"9,411",547,14,"93,822",859,"135,812","1,267,873","107,118"
149,Djibouti,"9,876",,96,,"7,985","1,795",,"9,885",96,"139,794","139,916","999,126"
150,Bahamas,"9,364",,189,,"8,837",338,4,"23,637",477,"79,493","200,659","396,160"
151,Suriname,"9,302",,182,,"8,669",451,10,"15,747",308,"46,103","78,047","590,711"
152,Martinique,"9,028",,57,,98,"8,873",5,"24,072",152,"133,358","355,585","375,038"
153,Papua New Guinea,"8,442",,68,,846,"7,528",,930,7,"70,260","7,740","9,078,024"
154,Trinidad and Tobago,"8,404",,146,,"7,740",518,14,"5,990",104,"115,779","82,522","1,403,013"
155,Benin,"7,515",,93,,"6,452",970,35,608,8,"548,484","44,347","12,367,868"
156,Equatorial Guinea,"7,219",,106,,"6,799",314,11,"5,019",74,"115,364","80,203","1,438,395"
157,Nicaragua,"6,727",,179,,"4,225","2,323",,"1,006",27,,,"6,685,654"
158,Iceland,"6,258",,29,,"6,126",103,,"18,247",85,"558,666","1,628,940","342,963"
159,Gambia,"5,602",,168,,"5,145",289,3,"2,269",68,"59,297","24,017","2,468,937"
160,CAR,"5,491",,74,,"5,056",361,2,"1,122",15,"40,907","8,357","4,894,717"
161,Yemen,"5,357",,"1,049",,"2,053","2,255",23,177,35,"20,872",688,"30,333,035"
162,Niger,"5,074",,189,,"4,747",138,1,204,8,"93,497","3,758","24,878,798"
163,San Marino,"4,956",,85,,"4,477",394,10,"145,820","2,501","55,935","1,645,776","33,987"
164,Chad,"4,636",,167,,"4,286",183,,276,10,"110,863","6,603","16,788,636"
165,Cambodia,"4,515",277,30,1,"2,212","2,273",,267,2,"770,928","45,622","16,898,196"
166,Seychelles,"4,430",,24,,"4,123",283,,"44,829",243,"21,504","217,608","98,820"
167,Saint Lucia,"4,348",,64,,"4,174",110,3,"23,595",347,"37,578","203,919","184,279"
168,Gibraltar,"4,277",,94,,"4,180",3,,"126,978","2,791","219,563","6,518,511","33,683"
169,Channel Islands,"4,051",,86,,"3,956",9,1,"23,134",491,"399,901","2,283,752","175,107"
170,Sierra Leone,"4,005",,79,,"2,831","1,095",,494,10,"118,332","14,605","8,102,294"
171,Comoros,"3,789",,146,,"3,577",66,,"4,287",165,,,"883,905"
172,Barbados,"3,730",,44,,"3,607",79,,"12,967",153,"146,135","508,032","287,649"
173,Guinea-Bissau,"3,680",,66,,"3,069",545,9,"1,836",33,"60,281","30,082","2,003,881"
174,Eritrea,"3,447",,10,,"3,166",271,,962,3,"23,693","6,610","3,584,441"
175,Burundi,"3,154",,6,,773,"2,375",,259,0.5,"90,019","7,401","12,163,222"
176,Liechtenstein,"2,753",,56,,"2,606",91,4,"72,044","1,465","32,252","844,006","38,213"
177,Vietnam,"2,693",,35,,"2,429",229,,27,0.4,"2,598,753","26,513","98,018,310"
178,New Zealand,"2,583",9,26,,"2,457",100,,516,5,"1,944,883","388,813","5,002,100"
179,Monaco,"2,375",,31,,"2,242",102,6,"60,191",786,"51,953","1,316,666","39,458"
180,Turks and Caicos,"2,357",,17,,"2,280",60,2,"60,246",435,"39,783","1,016,870","39,123"
181,Sao Tome and Principe,"2,266",,35,,"2,184",47,,"10,193",157,"12,597","56,665","222,305"
182,Sint Maarten,"2,185",,27,,"2,118",40,1,"50,517",624,"25,304","585,023","43,253"
183,Liberia,"2,042",,85,,"1,899",58,2,397,17,"79,684","15,474","5,149,383"
184,St. Vincent Grenadines,"1,792",,10,,"1,665",117,2,"16,113",90,"43,985","395,499","111,214"
185,Bermuda,"1,773",,14,,888,871,28,"28,551",225,"214,340","3,451,585","62,099"
186,Saint Martin,"1,693",,12,,"1,399",282,7,"43,215",306,"26,385","673,499","39,176"
187,Isle of Man,"1,574",,29,,"1,445",100,,"18,435",340,"44,761","524,238","85,383"
188,Caribbean Netherlands,"1,519",,14,,"1,396",109,,"57,512",530,"10,011","379,032","26,412"
189,Antigua and Barbuda,"1,198",,30,,938,230,45,"12,155",304,"16,493","167,343","98,558"
190,Mauritius,"1,192",,12,,775,405,,936,9,"358,675","281,665","1,273,410"
191,Taiwan,"1,057",,11,,"1,022",24,,44,0.5,"498,329","20,894","23,850,320"
192,Timor-Leste,947,,1,,443,503,,708,0.7,"48,364","36,150","1,337,854"
193,Bhutan,918,,1,,875,42,,"1,180",1,"651,942","837,760","778,197"
194,St. Barth,907,,1,,462,444,,"91,616",101,"26,385","2,665,152","9,900"
195,Diamond Princess,712,,13,,699,0,,,,,,
196,Faeroe Islands,661,,1,,660,0,,"13,488",20,"246,276","5,025,323","49,007"
197,Cayman Islands,516,,2,,487,27,,"7,780",30,"84,802","1,278,679","66,320"
198,Tanzania,509,,21,,183,305,7,8,0.3,,,"61,043,872"
199,Wallis and Futuna,432,,5,,44,383,3,"38,972",451,"1,331","120,072","11,085"
200,Brunei,219,,3,,206,10,,497,7,"116,596","264,553","440,729"
201,British Virgin Islands,178,,1,,159,18,,"5,858",33,"13,223","435,153","30,387"
202,Dominica,165,,,,159,6,,"2,288",,"13,500","187,175","72,125"
203,Grenada,155,,1,,152,2,,"1,373",9,"23,989","212,427","112,928"
204,New Caledonia,121,,,,58,63,,421,,"29,017","100,884","287,628"
205,Fiji,68,,2,,64,2,,75,2,"40,300","44,704","901,490"
206,Falkland Islands,60,,,,54,6,,"16,863",,"7,165","2,013,772","3,558"
207,Laos,51,,,,47,4,,7,,"142,596","19,382","7,357,317"
208,Macao,49,,,,48,1,,75,,"4,418","6,733","656,192"
209,Saint Kitts and Nevis,44,,,,44,0,,823,,"12,381","231,459","53,491"
210,Greenland,31,,,,31,0,,545,,"20,669","363,590","56,847"
211,Vatican City,27,,,,15,12,,"33,624",,,,803
212,Anguilla,25,,,,22,3,,"1,655",,"14,579","965,049","15,107"
213,Saint Pierre Miquelon,24,,,,24,0,,"4,158",,"5,126","888,080","5,772"
214,Montserrat,20,,1,,19,0,,"4,005",200,"1,313","262,915","4,994"
215,Solomon Islands,19,,,,18,1,,27,,"4,500","6,430","699,872"
216,Western Sahara,10,,1,,8,1,,16,2,,,"608,663"
217,MS Zaandam,9,,2,,7,0,,,,,,
218,Marshall Islands,4,,,,4,0,,67,,,,"59,500"
219,Samoa,3,,,,2,1,,15,,,,"199,438"
220,Vanuatu,3,,,,1,2,,10,,470,"1,503","312,682"
221,Micronesia,1,,,,1,0,,9,,,,"115,958"
,Total:,"136,641,901",#ERROR!,"2,949,409",248,"109,881,553","23,810,939","103,437","17,529.90",378.4,,,
