Country,"Active
Cases","Tot Cases/
1M pop","Deaths/
1M pop",Population,US$,People_partially_vaccinated,People_fully_vaccinated,2020
Latvia,"6,460","57,547","1,062","1,869,901","19,824",174005.0,27804.0,33.478
Norway,"13,985","18,999",125,"5,454,156","81,995",1025429.0,299631.0,362.009
Sri Lanka,"2,902","4,428",28,"21,483,057","3,830",925242.0,0.0,80.7
Montenegro,"4,391","150,079","2,186","628,128","9,064",37519.0,13290.0,4.79
Ghana,"1,414","2,890",24,"31,573,869","2,374",755686.0,0.0,68.418
China,295,63,3,"1,439,323,776","11,819",0.0,0.0,"14,722.84"
Kyrgyzstan,"2,780","13,655",230,"6,607,481","1,123",2100.0,0.0,.
Zambia,785,"4,794",65,"18,780,343",974,106.0,0.0,18.529
Cuba,"5,267","7,643",41,"11,321,232",.,.,.,.
Uzbekistan,"1,528","2,509",19,"33,844,834","1,775",256958.0,0.0,57.706
Finland,"35,185","14,791",156,"5,547,419","54,330",1267678.0,116412.0,270.637
Mozambique,"9,063","2,153",25,"31,929,609",425,57305.0,0.0,14.385
El Salvador,"1,480","10,211",315,"6,511,643","4,031",460565.0,15456.0,24.609
Luxembourg,"4,008","100,417","1,212","633,859","131,782",110434.0,42986.0,73.205
Cameroon,"3,886","2,282",34,"27,055,300","1,649",400.0,0.0,39.02
Singapore,288,"10,305",5,"5,886,067","64,103",1131658.0,535864.0,339.981
Afghanistan,"2,724","1,445",64,"39,604,950",592,120000.0,0.0,19.132
Cyprus,"12,172","42,419",224,"1,214,185","29,551",145357.0,57084.0,23.967
Namibia,"1,317","17,670",221,"2,576,485","4,371",2526.0,0.0,10.564
Ivory Coast,314,"1,682",10,"26,881,892","2,567",.,.,.
Botswana,"3,835","17,868",266,"2,388,308","7,817",31628.0,0.0,15.91
Jamaica,"22,932","14,304",226,"2,971,216","5,328",135473.0,0.0,13.948
Uganda,118,878,7,"46,851,395",972,220893.0,0.0,37.613
Senegal,179,"2,308",63,"17,083,884","1,622",379900.0,0.0,24.448
Zimbabwe,877,"2,481",102,"15,030,471","1,684",269732.0,34969.0,21.038
Malawi,"1,220","1,734",58,"19,510,895",432,251368.0,0.0,8.488
Thailand,"4,314",466,1,"69,936,240","7,702",523830.0,81429.0,501.888
Sudan,"3,834",675,46,"44,639,104",787,100010.0,0.0,34.37
Malta,558,"66,931",909,"442,458","31,576",183987.0,80671.0,14.559
Australia,"2,149","1,143",35,"25,729,274","62,723",159294.0,0.0,"1,359.33"
DRC,"1,956",311,8,"91,655,486",.,.,.,.
Madagascar,"3,685",994,18,"28,239,647",521,.,.,13.837
Maldives,"2,999","46,754",122,"547,907","11,801",278069.0,35294.0,3.755
Angola,846,697,16,"33,652,304","2,080",245442.0,0.0,62.44
Rwanda,"1,868","1,775",24,"13,199,759",821,349702.0,0.0,10.372
Guinea,"2,252","1,563",10,"13,407,156","1,141",81429.0,27867.0,15.455
Gabon,"3,053","9,106",56,"2,266,246","8,601",3925.0,0.0,15.642
Syria,"4,836","1,134",77,"17,828,502","2,807",2500.0,0.0,.
Mayotte,"16,512","70,686",601,"277,891",.,.,.,.
Cabo Verde,"1,626","33,897",325,"560,670",.,.,.,1.753
French Polynesia,"13,669","66,102",500,"282,170",.,.,.,.
Mauritania,225,"3,799",95,"4,743,824","2,179",2930.0,0.0,8.176
French Guiana,"7,460","57,604",309,"304,648",.,.,.,.
Réunion,"1,374","19,447",137,"900,274",.,.,.,.
Eswatini,62,"14,858",572,"1,169,482","3,710",27601.0,0.0,3.949
Mongolia,"6,177","4,736",8,"3,319,145","4,172",0.0,0.0,13.137
Tajikistan,0,"1,372",9,"9,702,976",810,.,.,7.997
Burkina Faso,211,607,7,"21,344,682",876,.,.,16.541
Haiti,"1,142","1,116",22,"11,510,273","1,943",.,.,14.286
Andorra,600,"162,162","1,551","77,361",.,9781.0,4484.0,.
Belize,61,"30,964",789,"403,209","3,970",34262.0,0.0,1.651
Somalia,"6,566",764,38,"16,234,617",347,.,.,4.92
Guadeloupe,"9,724","30,337",435,"400,177",.,.,.,.
Togo,"2,616","1,424",14,"8,428,407","1,016",100000.0,0.0,7.495
Mali,"4,293",572,20,"20,699,744",983,26226.0,0.0,17.639
Hong Kong,169,"1,535",27,"7,544,203","49,036",671715.0,345916.0,.
Curaçao,"4,768","68,979",401,"164,615",.,.,.,.
Guyana,"1,173","14,122",323,"789,502","9,192",60172.0,0.0,5.766
Lesotho,"5,718","4,967",146,"2,155,435","1,178",.,.,2.068
South Sudan,168,918,10,"11,295,469",315,947.0,0.0,4.074
Congo,"1,739","1,793",24,"5,622,812","2,505",.,.,10.232
Aruba,547,"93,822",859,"107,118","22,852",.,.,2.458
Djibouti,"1,795","9,885",96,"999,126","3,214",.,.,3.408
Bahamas,338,"23,637",477,"396,160","30,070",15000.0,0.0,.
Suriname,451,"15,747",308,"590,711","4,030",34630.0,0.0,2.41
Martinique,"8,873","24,072",152,"375,038",.,.,.,.
Papua New Guinea,"7,528",930,7,"9,078,024","2,737",1081.0,0.0,23.575
Trinidad and Tobago,518,"5,990",104,"1,403,013","15,752",11686.0,0.0,21.53
Benin,970,608,8,"12,367,868","1,388",.,.,15.193
Equatorial Guinea,314,"5,019",74,"1,438,395","8,074",27579.0,5305.0,9.524
Nicaragua,"2,323","1,006",27,"6,685,654","1,877",0.0,0.0,12.146
Iceland,103,"18,247",85,"342,963","65,273",70058.0,28614.0,21.715
Gambia,289,"2,269",68,"2,468,937",834,16735.0,0.0,.
CAR,361,"1,122",15,"4,894,717",.,.,.,.
Yemen,"2,255",177,35,"30,333,035",754,.,.,20.14
Niger,138,204,8,"24,878,798",633,.,.,13.698
San Marino,394,"145,820","2,501","33,987","49,765",11989.0,8435.0,1.505
Chad,183,276,10,"16,788,636",741,.,.,10.742
Cambodia,"2,273",267,2,"16,898,196","1,720",1241947.0,299949.0,25.953
Seychelles,283,"44,829",243,"98,820","9,666",66250.0,45944.0,1.131
Saint Lucia,110,"23,595",347,"184,279","9,816",20247.0,0.0,.
Gibraltar,3,"126,978","2,791","33,683",.,35830.0,30402.0,.
Channel Islands,9,"23,134",491,"175,107",.,.,.,.
Sierra Leone,"1,095",494,10,"8,102,294",542,42566.0,1781.0,4.204
Comoros,66,"4,287",165,"883,905","1,420",.,.,1.222
Barbados,79,"12,967",153,"287,649","16,036",66900.0,0.0,4.365
Guinea-Bissau,545,"1,836",33,"2,003,881",888,.,.,1.434
Eritrea,271,962,3,"3,584,441",625,.,.,2.086
Burundi,"2,375",259,0.5,"12,163,222",265,.,.,3.011
Liechtenstein,91,"72,044","1,465","38,213",.,5305.0,2970.0,.
Vietnam,229,27,0.4,"98,018,310","3,609",63758.0,0.0,340.821
New Zealand,100,516,5,"5,002,100","47,499",105391.0,30194.0,209.329
Monaco,102,"60,191",786,"39,458",.,11715.0,8795.0,.
Turks and Caicos,60,"60,246",435,"39,123",.,.,.,.
Sao Tome and Principe,47,"10,193",157,"222,305",.,9724.0,0.0,.
Sint Maarten,40,"50,517",624,"43,253",.,.,.,.
Liberia,58,397,17,"5,149,383",700,.,.,3.033
St. Vincent Grenadines,117,"16,113",90,"111,214",.,.,.,.
Bermuda,871,"28,551",225,"62,099",.,25781.0,19980.0,.
Saint Martin,282,"43,215",306,"39,176",.,.,.,.
Isle of Man,100,"18,435",340,"85,383",.,48625.0,15474.0,.
Caribbean Netherlands,109,"57,512",530,"26,412",.,.,.,.
Antigua and Barbuda,230,"12,155",304,"98,558","13,824",27032.0,0.0,1.39
Mauritius,405,936,9,"1,273,410","9,639",3843.0,0.0,11.396
Taiwan,24,44,0.5,"23,850,320","32,123",30039.0,0.0,.
Timor-Leste,503,708,0.7,"1,337,854","1,285",.,.,1.791
Bhutan,42,"1,180",1,"778,197","3,296",478219.0,0.0,2.503
St. Barth,444,"91,616",101,"9,900",.,.,.,.
Diamond Princess,0,.,.,.,.,.,.,.
Faeroe Islands,0,"13,488",20,"49,007",.,9528.0,4777.0,.
Cayman Islands,27,"7,780",30,"66,320",.,33808.0,27306.0,.
Tanzania,305,8,0.3,"61,043,872","1,104",.,.,63.244
Wallis and Futuna,383,"38,972",451,"11,085",.,.,.,.
Brunei,10,497,7,"440,729","33,097",2323.0,0.0,.
British Virgin Islands,18,"5,858",33,"30,387",.,.,.,.
Dominica,6,"2,288",.,"72,125","6,989",17775.0,337.0,0.517
Grenada,2,"1,373",9,"112,928","9,171",9821.0,0.0,1.037
New Caledonia,63,421,.,"287,628",.,.,.,.
Fiji,2,75,2,"901,490","5,069",27705.0,0.0,4.316
Falkland Islands,6,"16,863",.,"3,558",.,2605.0,1717.0,.
Laos,4,7,.,"7,357,317","2,773",40732.0,0.0,.
Macao,1,75,.,"656,192",.,50184.0,27052.0,.
Saint Kitts and Nevis,0,823,.,"53,491","14,402",10456.0,0.0,.
Greenland,0,545,.,"56,847",.,6270.0,4297.0,.
Vatican City,12,"33,624",.,803,.,.,.,.
Anguilla,3,"1,655",.,"15,107",.,5835.0,0.0,.
Saint Pierre Miquelon,0,"4,158",.,"5,772",.,.,.,.
Montserrat,0,"4,005",200,"4,994",.,1266.0,276.0,.
Solomon Islands,1,27,.,"699,872","2,455",2000.0,0.0,1.567
Western Sahara,1,16,2,"608,663",.,.,.,.
MS Zaandam,0,.,.,.,.,.,.,.
Marshall Islands,0,67,.,"59,500","4,206",.,.,0.234
Samoa,1,15,.,"199,438","3,672",.,.,0.804
Vanuatu,2,10,.,"312,682","2,957",.,.,0.864
Micronesia,0,9,.,"115,958",.,.,.,0.408
Total:,"23,810,939","17,529.90",378.4,.,.,.,.,.
Macau,.,.,.,.,"58,004",.,.,.
Puerto Rico,.,.,.,.,"32,233",.,.,95.851
Palau,.,.,.,.,"12,850",.,.,0.254
Nauru,.,.,.,.,"10,125",.,.,0.114
Turkmenistan,.,.,.,.,"9,032",.,.,47.354
Saint Vincent and the Grenadines,.,.,.,.,"7,212",0.0,0.0,.
Tuvalu,.,.,.,.,"5,116",.,.,0.048
Tonga,.,.,.,.,"5,081",.,.,0.514
Kosovo,.,.,.,.,"4,856",10704.0,0.0,7.789
Federated States of Micronesia,.,.,.,.,"3,821",.,.,.
Cape Verde,.,.,.,.,"3,555",2184.0,0.0,.
São Tomé and Príncipe,.,.,.,.,"2,174",.,.,0.418
Kiribati,.,.,.,.,"1,917",.,.,0.2
Democratic Republic of the Congo,.,.,.,.,588,.,.,49.077
Central African Republic,.,.,.,.,552,.,.,2.366
Africa,.,.,.,.,.,10039775.0,4599547.0,.
Asia,.,.,.,.,.,158168991.0,41284080.0,.
Cote d'Ivoire,.,.,.,.,.,91901.0,0.0,.
England,.,.,.,.,.,27345006.0,7417722.0,.
Europe,.,.,.,.,.,126715251.0,46851957.0,.
European Union,.,.,.,.,.,79343977.0,29744792.0,.
Guernsey,.,.,.,.,.,29575.0,8254.0,.
Jersey,.,.,.,.,.,45585.0,25274.0,.
North America,.,.,.,.,.,149242024.0,85870368.0,.
Northern Cyprus,.,.,.,.,.,56516.0,48462.0,.
Northern Ireland,.,.,.,.,.,850103.0,250474.0,.
Oceania,.,.,.,.,.,295471.0,30194.0,.
Saint Helena,.,.,.,.,.,3546.0,107.0,.
Scotland,.,.,.,.,.,2722084.0,688761.0,.
South America,.,.,.,.,.,42949147.0,16171252.0,.
Turks and Caicos Islands,.,.,.,.,.,14300.0,10000.0,.
Wales,.,.,.,.,.,1657028.0,574590.0,.
The Bahamas,.,.,.,.,.,.,.,11.25
Brunei Darussalam,.,.,.,.,.,.,.,12.016
Côte d'Ivoire,.,.,.,.,.,.,.,61.402
The Gambia,.,.,.,.,.,.,.,1.913
Hong Kong SAR,.,.,.,.,.,.,.,349.445
Kyrgyz Republic,.,.,.,.,.,.,.,7.471
Lao P.D.R.,.,.,.,.,.,.,.,19.078
Macao SAR,.,.,.,.,.,.,.,24.333
St. Kitts and Nevis,.,.,.,.,.,.,.,0.852
St. Lucia,.,.,.,.,.,.,.,1.692
St. Vincent and the Grenadines,.,.,.,.,.,.,.,0.787
Taiwan Province of China,.,.,.,.,.,.,.,668.51
West Bank and Gaza,.,.,.,.,.,.,.,15.519
.,.,.,.,.,.,.,.,.
"International Monetary Fund, World Economic Outlook Database, April 2021",.,.,.,.,.,.,.,.
