Country,"Active
Cases","Tot Cases/
1M pop","Deaths/
1M pop",Population,US$,People_partially_vaccinated,People_fully_vaccinated,2020,vaccination_rate
Denmark,"8,721","40,942",420,"5,808,065","67,218",1022477.0,488202.0,352.243,0.08405587747382304
Paraguay,"37,179","32,677",670,"7,200,447","5,146",75687.0,12140.0,35.875,0.0016860064382114054
Ethiopia,"55,189","1,955",27,"117,159,125",952,0.0,0.0,96.611,0.0
Slovenia,"13,819","108,938","1,981","2,079,160","28,104",368446.0,142150.0,52.838,0.06836895669404952
Lithuania,"16,589","83,999","1,369","2,692,579","22,245",561712.0,209354.0,55.688,0.0777522219403776
Costa Rica,"24,766","43,379",588,"5,130,219","11,806",354291.0,232508.0,61.45,0.04532126211376161
Egypt,"38,545","2,027",120,"103,826,342","3,832",148987.0,0.0,361.847,0.0
Guatemala,"10,506","11,175",386,"18,171,777","4,439",152733.0,1823.0,77.073,0.00010032040344761
Armenia,"17,119","68,345","1,259","2,967,553","4,125",565.0,0.0,12.339,0.0
Honduras,"115,180","19,526",479,"10,026,526","2,586",55000.0,2639.0,23.691,0.00026320183082355743
Qatar,"20,057","67,677",119,"2,807,805","59,143",100000.0,0.0,146.09,0.0
Bosnia and Herzegovina,"35,210","55,722","2,235","3,264,896","6,728",0.0,0.0,19.389,0.0
Venezuela,"15,623","6,164",63,"28,373,143","1,542",250000.0,0.0,47.255,0.0
Oman,"16,989","32,948",341,"5,206,730","16,212",173789.0,19019.0,63.192,0.0036527724694770036
Nigeria,"7,632",780,10,"210,078,731","2,432",1081548.0,0.0,429.423,0.0
Bahrain,"10,988","89,562",319,"1,746,975","24,294",586279.0,456184.0,33.904,0.26112794974169634
Kenya,"44,227","2,664",43,"54,685,584","2,129",569244.0,0.0,99.287,0.0
Uruguay,"32,903","41,527",420,"3,483,093","15,653",1025979.0,284612.0,55.711,0.08171243202521437
Myanmar,"7,517","2,607",59,"54,693,139","1,423",1000000.0,40000.0,81.257,0.0007313531593057769
North Macedonia,"20,836","68,086","2,029","2,083,307","6,657",38626.0,0.0,12.288,0.0
Albania,"28,353","44,653",806,"2,875,349","5,991",6073.0,655.0,15.147,0.0002277984342074649
Algeria,"32,786","2,665",70,"44,463,324","3,364",0.0,0.0,144.294,0.0
Estonia,"18,339","86,024",775,"1,327,229","26,470",277745.0,80926.0,31.005,0.060973652625131006
South Korea,"7,572","2,147",35,"51,303,532","34,866",1482969.0,60577.0,"1,630.87",0.001180756911629398
Latvia,"6,460","57,547","1,062","1,869,901","19,824",174005.0,27804.0,33.478,0.014869236392728812
Norway,"13,985","18,999",125,"5,454,156","81,995",1025429.0,299631.0,362.009,0.05493627244985292
Sri Lanka,"2,902","4,428",28,"21,483,057","3,830",925242.0,0.0,80.7,0.0
Montenegro,"4,391","150,079","2,186","628,128","9,064",37519.0,13290.0,4.79,0.021158107901574203
Ghana,"1,414","2,890",24,"31,573,869","2,374",755686.0,0.0,68.418,0.0
China,295,63,3,"1,439,323,776","11,819",0.0,0.0,"14,722.84",0.0
Zambia,785,"4,794",65,"18,780,343",974,106.0,0.0,18.529,0.0
Uzbekistan,"1,528","2,509",19,"33,844,834","1,775",256958.0,0.0,57.706,0.0
Finland,"35,185","14,791",156,"5,547,419","54,330",1267678.0,116412.0,270.637,0.020984894056136738
Mozambique,"9,063","2,153",25,"31,929,609",425,57305.0,0.0,14.385,0.0
El Salvador,"1,480","10,211",315,"6,511,643","4,031",460565.0,15456.0,24.609,0.002373594498347038
Luxembourg,"4,008","100,417","1,212","633,859","131,782",110434.0,42986.0,73.205,0.06781634401341623
Cameroon,"3,886","2,282",34,"27,055,300","1,649",400.0,0.0,39.02,0.0
Singapore,288,"10,305",5,"5,886,067","64,103",1131658.0,535864.0,339.981,0.09103939863409642
Afghanistan,"2,724","1,445",64,"39,604,950",592,120000.0,0.0,19.132,0.0
Cyprus,"12,172","42,419",224,"1,214,185","29,551",145357.0,57084.0,23.967,0.04701425235857798
Namibia,"1,317","17,670",221,"2,576,485","4,371",2526.0,0.0,10.564,0.0
Botswana,"3,835","17,868",266,"2,388,308","7,817",31628.0,0.0,15.91,0.0
Jamaica,"22,932","14,304",226,"2,971,216","5,328",135473.0,0.0,13.948,0.0
Uganda,118,878,7,"46,851,395",972,220893.0,0.0,37.613,0.0
Senegal,179,"2,308",63,"17,083,884","1,622",379900.0,0.0,24.448,0.0
Zimbabwe,877,"2,481",102,"15,030,471","1,684",269732.0,34969.0,21.038,0.0023265405322294955
Malawi,"1,220","1,734",58,"19,510,895",432,251368.0,0.0,8.488,0.0
Thailand,"4,314",466,1,"69,936,240","7,702",523830.0,81429.0,501.888,0.001164331968661741
Sudan,"3,834",675,46,"44,639,104",787,100010.0,0.0,34.37,0.0
Malta,558,"66,931",909,"442,458","31,576",183987.0,80671.0,14.559,0.18232465002327905
Australia,"2,149","1,143",35,"25,729,274","62,723",159294.0,0.0,"1,359.33",0.0
Maldives,"2,999","46,754",122,"547,907","11,801",278069.0,35294.0,3.755,0.06441604140848721
Angola,846,697,16,"33,652,304","2,080",245442.0,0.0,62.44,0.0
Rwanda,"1,868","1,775",24,"13,199,759",821,349702.0,0.0,10.372,0.0
Guinea,"2,252","1,563",10,"13,407,156","1,141",81429.0,27867.0,15.455,0.0020785168756147837
Gabon,"3,053","9,106",56,"2,266,246","8,601",3925.0,0.0,15.642,0.0
Syria,"4,836","1,134",77,"17,828,502","2,807",2500.0,0.0,.,0.0
Mauritania,225,"3,799",95,"4,743,824","2,179",2930.0,0.0,8.176,0.0
Eswatini,62,"14,858",572,"1,169,482","3,710",27601.0,0.0,3.949,0.0
Mongolia,"6,177","4,736",8,"3,319,145","4,172",0.0,0.0,13.137,0.0
Belize,61,"30,964",789,"403,209","3,970",34262.0,0.0,1.651,0.0
Togo,"2,616","1,424",14,"8,428,407","1,016",100000.0,0.0,7.495,0.0
Mali,"4,293",572,20,"20,699,744",983,26226.0,0.0,17.639,0.0
Guyana,"1,173","14,122",323,"789,502","9,192",60172.0,0.0,5.766,0.0
South Sudan,168,918,10,"11,295,469",315,947.0,0.0,4.074,0.0
Suriname,451,"15,747",308,"590,711","4,030",34630.0,0.0,2.41,0.0
Papua New Guinea,"7,528",930,7,"9,078,024","2,737",1081.0,0.0,23.575,0.0
Trinidad and Tobago,518,"5,990",104,"1,403,013","15,752",11686.0,0.0,21.53,0.0
Equatorial Guinea,314,"5,019",74,"1,438,395","8,074",27579.0,5305.0,9.524,0.003688138515498177
Nicaragua,"2,323","1,006",27,"6,685,654","1,877",0.0,0.0,12.146,0.0
Iceland,103,"18,247",85,"342,963","65,273",70058.0,28614.0,21.715,0.08343174045013602
San Marino,394,"145,820","2,501","33,987","49,765",11989.0,8435.0,1.505,0.24818312884338128
Cambodia,"2,273",267,2,"16,898,196","1,720",1241947.0,299949.0,25.953,0.017750356310223883
Seychelles,283,"44,829",243,"98,820","9,666",66250.0,45944.0,1.131,0.46492612831410646
Sierra Leone,"1,095",494,10,"8,102,294",542,42566.0,1781.0,4.204,0.0002198142896320474
Barbados,79,"12,967",153,"287,649","16,036",66900.0,0.0,4.365,0.0
Vietnam,229,27,0.4,"98,018,310","3,609",63758.0,0.0,340.821,0.0
New Zealand,100,516,5,"5,002,100","47,499",105391.0,30194.0,209.329,0.006036264768797105
Antigua and Barbuda,230,"12,155",304,"98,558","13,824",27032.0,0.0,1.39,0.0
Mauritius,405,936,9,"1,273,410","9,639",3843.0,0.0,11.396,0.0
Bhutan,42,"1,180",1,"778,197","3,296",478219.0,0.0,2.503,0.0
Dominica,6,"2,288",.,"72,125","6,989",17775.0,337.0,0.517,0.004672443674176776
Grenada,2,"1,373",9,"112,928","9,171",9821.0,0.0,1.037,0.0
Fiji,2,75,2,"901,490","5,069",27705.0,0.0,4.316,0.0
Solomon Islands,1,27,.,"699,872","2,455",2000.0,0.0,1.567,0.0
